collection_frequency,hourly_collection_plan_id,provider,site,siteHierarchy_customer,siteHierarchy_customerSiteCode,siteHierarchy_priority,requests_count,enrichment_request_count,timeBox_startTime_date,timeBox_startTime_time,timeBox_endTime_date,timeBox_endTime_time,ownerSequence,customerCollection_id,customerCollection_customer,customerCollection_name,customerCollection_frequency,customerCollection_earliestStartTime,customerCollection_expectedDeliveryTime,customerCollection_hints,customerCollection_status,customerCollection_customerPackagingId,input_filename,input_reference,inputRequest_exists,timebox_startTime_date,timebox_startTime_time,timebox_endTime_date,timebox_endTime_time,row_count
adhoc,438,SP,B6_API,*,B6,1,1,0,20250508,0,20250508,0,1,101,AA,Dom_Mutli_Daily,adhoc,0,1100,,active,1,AA_M5.csv,31035,1,20250508,500,20250508,1500,2304
adhoc,580,Ingest-Southwest,WN,*,WN,1,1,0,20250508,0,20250508,0,1,101,AA,Dom_Mutli_Daily,adhoc,0,1100,,active,1,AA_M5.csv,31035,1,20250508,500,20250508,1500,2304
chnl,484,UA,UA,*,UA,1,1,0,20250508,500,20250508,1000,1,34,AA,TATL_ChannelCompare,daily,0,600,Channel Comparison,active,1,AA_A2.csv,11580,1,20250508,500,20250508,1000,336
chnl,485,UA,UA,*,UA,1,1,0,20250508,500,20250508,1000,1,34,AA,TATL_ChannelCompare,daily,0,600,Channel Comparison,active,1,AA_A2.csv,11580,1,20250508,500,20250508,1000,336
chnl,486,UA,UA,*,UA,1,1,0,20250508,500,20250508,1000,1,34,AA,TATL_ChannelCompare,daily,0,600,Channel Comparison,active,1,AA_A2.csv,11580,1,20250508,500,20250508,1000,336
chnl,487,UA,UA,*,UA,1,1,0,20250508,500,20250508,1000,1,34,AA,TATL_ChannelCompare,daily,0,600,Channel Comparison,active,1,AA_A2.csv,11580,1,20250508,500,20250508,1000,492
chnl,488,UA,UA,*,UA,1,1,0,20250508,500,20250508,1000,1,34,AA,TATL_ChannelCompare,daily,0,600,Channel Comparison,active,1,AA_A2.csv,11580,1,20250508,500,20250508,1000,492
chnl,494,UA,UA,*,UA,1,1,0,20250509,500,20250509,1000,1,34,AA,TATL_ChannelCompare,daily,0,600,Channel Comparison,active,1,AA_A2.csv,11580,1,20250509,500,20250509,1000,336
chnl,495,UA,UA,*,UA,1,1,0,20250509,500,20250509,1000,1,34,AA,TATL_ChannelCompare,daily,0,600,Channel Comparison,active,1,AA_A2.csv,11580,1,20250509,500,20250509,1000,336
chnl,496,UA,UA,*,UA,1,1,0,20250509,500,20250509,1000,1,34,AA,TATL_ChannelCompare,daily,0,600,Channel Comparison,active,1,AA_A2.csv,11580,1,20250509,500,20250509,1000,336
chnl,497,UA,UA,*,UA,1,1,0,20250509,500,20250509,1000,1,34,AA,TATL_ChannelCompare,daily,0,600,Channel Comparison,active,1,AA_A2.csv,11580,1,20250509,500,20250509,1000,492
chnl,498,UA,UA,*,UA,1,1,0,20250509,500,20250509,1000,1,34,AA,TATL_ChannelCompare,daily,0,600,Channel Comparison,active,1,AA_A2.csv,11580,1,20250509,500,20250509,1000,492
daily,428,AaPts,Awards,*,AA_PTS,1,1,0,20250508,500,20250508,500,1,32,AA,Miles_Evening,daily,0,2359,,active,1,AA_M2.csv,32385,1,20250508,500,20250508,500,28091
daily,428,AaPts,Awards,*,BA_PTS,1,1,0,20250508,500,20250508,500,1,32,AA,Miles_Evening,daily,0,2359,,active,1,AA_M2.csv,32385,1,20250508,500,20250508,500,520
