collection_frequency,hourly_collection_plan_id,row_count,timeBox_start_date,timeBox_start_time,timeBox_end_date,timeBox_end_time,ownerSequence,inputRequest_exists,Collection_id,Collection_customer,Collection_name,collection_frequency_requestOwner,Collection_earliestStartTime,Collection_expectedDeliveryTime,Collection_hints,Collection_status,Collection_customerPackagingId,input_filename,input_reference,owner_timebox_start_date,owner_timebox_start_time,owner_timebox_end_date,owner_timebox_end_time,provider,site,hierarchy_customer,hierarchy_customerSiteCode,hierarchy_priority,requests_count,enrichment_request_count,file_collection_frequency,file_hourly_collection_plan_id,grouped_row_count
Daily,17445,715205,20250702,0,20250702,1059,1,1,38,AA,GDS,daily,1900,600,,active,1,AA_GDS.csv,28229,20250702,0,20250702,1059,TP,1G,*,GDS,1,1,0,Daily,17445,355705
Daily,17434,715204,20250701,0,20250701,1059,1,1,38,AA,GDS,daily,1900,600,,active,1,AA_GDS.csv,28229,20250701,0,20250701,1059,TP,1G,*,GDS,1,1,0,Daily,17434,355628
Daily,17456,715205,20250703,0,20250703,1059,1,1,38,AA,GDS,daily,1900,600,,active,1,AA_GDS.csv,28229,20250703,0,20250703,1059,TP,1G,*,GDS,1,1,0,Daily,17456,355610
Daily,17456,715205,20250703,0,20250703,1059,1,1,64,WN,WN_aggregated,daily,1900,600,,active,1,WN_GET_GDS_AA_20241009.csv,35034,20250703,0,20250703,1059,TP,1G,*,GDS,1,1,0,Daily,17456,332707
Daily,17445,715205,20250702,0,20250702,1059,1,1,64,WN,WN_aggregated,daily,1900,600,,active,1,WN_GET_GDS_AA_20241009.csv,35034,20250702,0,20250702,1059,TP,1G,*,GDS,1,1,0,Daily,17445,332612
Daily,17434,715204,20250701,0,20250701,1059,1,1,64,WN,WN_aggregated,daily,1900,600,,active,1,WN_GET_GDS_AA_20241009.csv,35034,20250701,0,20250701,1059,TP,1G,*,GDS,1,1,0,Daily,17434,332239
Daily,17457,701616,20250703,0,20250703,1059,1,1,38,AA,GDS,daily,1900,600,,active,1,AA_GDS.csv,28229,20250703,0,20250703,1059,TP,1G,*,GDS,1,1,0,Daily,17457,305564
Daily,17446,701616,20250702,0,20250702,1059,1,1,38,AA,GDS,daily,1900,600,,active,1,AA_GDS.csv,28229,20250702,0,20250702,1059,TP,1G,*,GDS,1,1,0,Daily,17446,305529
Daily,17435,701807,20250701,0,20250701,1059,1,1,38,AA,GDS,daily,1900,600,,active,1,AA_GDS.csv,28229,20250701,0,20250701,1059,TP,1G,*,GDS,1,1,0,Daily,17435,305332
Daily,17458,535999,20250703,0,20250703,1059,1,1,38,AA,GDS,daily,1900,600,,active,1,AA_GDS.csv,28229,20250703,0,20250703,1059,TP,1G,*,GDS,1,1,0,Daily,17458,210279
